입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
MDG0030,3,특수수술재료(수술재료4) 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군의무사령부,1290291,국군의무사령부,1290291,87.995,123432461,124656000,115636363,2023-03-22,11:00:00,개찰완료,110000000,89.117,2023-03-22,더윈메디,오지혜,김중익,114-42-00366,서울특별시 강서구 화곡로429-0 (가양동) 402-5호
EBB0080,1,23년 기관총 주야조준경 부품류(구매),물품,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,308846053,308795000,0,2023-04-20,14:30:00,개찰완료,271826595,88.013,2023-04-20,주식회사 시그니처와이케이고,박영춘,박영춘,899-86-01631,"경기도 부천시 조마루로385번길92, 907호(원미동, 부천테크노밸리 U1 center)"
HCF0019,1,손톱깎이 제조,물품,총액계약,제한경쟁,적격심사제,Y,공군군수사령부,ZD00306,공군군수사령부,ZD00306,87.995,47889466,47937794,44451409,2023-02-28,10:30:00,개찰완료,45983025,96.019,2023-02-28,로얄금속공업(주),정갑선,김길수,130-81-06717,경기도 부천시 소사구 경인로392번길 22(소사본동)
UMM0048,1,23-N-빌지펌프 4.5㎥/HR 제조,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,111260704,111760000,103636363,2023-03-02,11:00:00,개찰완료,97960657,88.046,2023-03-02,조이엔지니어링,조진숙,이동윤,606-29-97978,부산광역시 강서구 대저중앙로357번길44-1 (대저1동)
SCH0011,1,23-4호 감귤 등 23종 구매,물품,총액계약,제한경쟁,적격심사제,Y,해군작전사령부,ZD00137,해군작전사령부,ZD00137,87.945,200774356,198600000,184196909,2023-02-01,10:30:00,개찰완료,176714200,88.016,2023-02-01,이엠미트,임은미,임은미,714-30-01158,부산광역시 강서구 대저중앙로172번길49-0 (대저1동)
SCH0012,1,23-5호 훈제오리 슬라이스 등 20종 구매,물품,총액계약,제한경쟁,적격심사제,Y,해군작전사령부,ZD00137,해군작전사령부,ZD00137,87.945,171325430,171700000,159249090,2023-02-01,10:30:00,개찰완료,150889900,88.072,2023-02-01,이레축산,임순희,임순희,606-38-14741,부산광역시 사상구 새벽시장로103번길24-0 (감전동)
MHD0016,2,국방과학기술료 고시 개선방안 연구,용역,총액계약,협상에의한계약(전자),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,50000000,,45454545,2023-04-11,15:00:00,개찰완료,50000000,100,2023-04-21,한국지식재산연구원,손승우,김영중,220-82-06754,"서울특별시 강남구 테헤란로131-0 (역삼동, 한국지식재산센터) 3.9층"
SCF0008,2,후드사파리 쟈켓 88EA 제조,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,19287227,19200000,17881600,2023-02-14,10:30:00,개찰완료,16971845,87.995,2023-02-14,(사)한국척수장애인협회,정진완,권도연,416-82-16339,"서울특별시 영등포구 의사당대로22, 604호 (여의도동, 이룸센터)"
LDH0100,1,K1전차 부쉬 등 2종 구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,12316423,12323000,11426777,2023-02-03,13:00:00,개찰완료,10842700,88.034,2023-02-03,에스케이(SK)산업,박수경,박수경,449-03-02636,경상남도 창원시 성산구 원이대로774 (상남동) 512-304
LDH0108,1,K1전차 베어링 등 3종 구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,17095869,17181000,15931498,2023-02-03,13:00:00,개찰완료,15102100,88.337,2023-02-03,대아테크,변오석,변오석,607-49-85492,부산광역시 금정구 공단동로41번길10-0 (금사동)
LCF0007,1,비닐봉투 등 9항목 구매(일반물자),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,17999329,17977254,16669818,2023-02-07,10:30:00,개찰완료,17814000,98.97,2023-02-07,주식회사 칼라투,김보민,김보민,222-81-35447,"경기도 고양시 덕양구 중앙로558번길16-16, 308-A호(행신동, 능곡종합프라자)"
