입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
MHD0096,1,국방 분야 초거대 AI 적용 방안 연구,용역,총액계약,협상에의한계약(전자),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,70259000,,63871818,2023-12-13,15:00:00,개찰완료,50200000,71.449,2024-01-02,고려대학교산학협력단,권정환,임동환,209-82-08298,"서울특별시 성북구 안암로145 (안암동5가, 고려대학교)"
MHD0097,2,24년 국방연구개발사업의 성과조사 · 분석 연구 ,용역,총액계약,협상에의한계약(전자),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,80000000,,72727273,2023-12-19,15:00:00,개찰완료,79950000,99.937,2024-04-23,주식회사 공공정책성과평가연구원,김동준,노민택,105-87-93203,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)"
LCI0001,2,재고번호미입력품목,물품,단가계약,2단계경쟁(동시),최저가격제,N,육군제6501부대,ZD00020,육군제6501부대,ZD00020,0,7000,7000,729654545,2023-12-29,10:00:00,개찰완료,7000,100,2024-01-10,주식회사 푸드윈,김봉환,최상준,123-86-37712,"경기도 군포시 공단로149-0 (당동, 아이밸리 군포)"
LGI0149,1,부식류 189종,물품,단가계약,2단계경쟁(동시),최저가격제,N,제3130부대,ZD01109,제3130부대,ZD01109,0,1888803,1895790,3177476118,2023-12-29,10:30:00,개찰완료,1257307,66.566,2024-01-02,씨제이프레시웨이 주식회사,이건일,권영석,603-81-11270,경기도 용인시 기흥구 기곡로32-0 (하갈동)
MDD0154,1,2024~2025 국군수도병원 승강기 유지관리 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군수도병원,ZD00236,국군수도병원,ZD00236,87.745,93388733,93170000,86428800,2023-12-29,17:00:00,개찰완료,81990795,87.795,2024-01-02,성우승강기(주),김구현,장나영,120-87-44512,"서울특별시 강남구 봉은사로451, 201호(삼성동, 성우빌딩)"
UMM0789,1,24-F-천궁  발칸 교육훈련장비 유지보수,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,77665477,77640000,79141818,2024-01-02,11:00:00,개찰완료,68156590,87.756,2024-01-02,경안이엔지(주),금동중,김은영,206-81-82837,"서울특별시 광진구 아차산로78길110-0 (광장동, 리버힐오피스텔) 310"
HDP0055,1,(24-용역-01) 24년 오폐수처리장 관리용역,용역,총액계약,제한경쟁,적격심사제,Y,공군제19전투비행단,ZD00189,공군제19전투비행단,ZD00189,87.995,398588505,394719850,358836227,2024-01-03,11:00:00,개찰완료,351164910,88.102,2024-01-03,호암엔지니어링(주),윤기상,김지은,303-81-46898,충청북도 충주시 금대2길49-4 2층 (칠금동)
MCR0073,1,24년 통합사이버교육시스템 유지보수 용역,용역,총액계약,제한경쟁,적격심사제,Y,국방대학교,1290412,국방대학교,1290412,87.745,23491759,23498372,21789400,2024-01-03,10:30:00,개찰완료,20624764,87.795,2024-01-03,주식회사 명품시스템,이명아,이성태,305-81-94305,대전광역시 서구 계룡로408-0 (갈마동)
MDS0030,1,교육단 증개축 GHP 실외기 설치납품,물품,총액계약,제한경쟁,적격심사제,Y,제3707부대,1290494,제3707부대,1290494,87.995,68714517,69019607,64000000,2024-01-03,10:30:00,개찰완료,60496000,88.039,2024-01-03,(주)비케이에너지,이복경,이복경,127-86-18736,경기도 의정부시 민락로387-0 (낙양동)
SCR0090,2,24년 배추김치(포기절단) 등 10종 구매,물품,총액계약,제한경쟁,적격심사제,Y,해군제3함대사령부,ZD00155,해군제3함대사령부,ZD00155,87.995,60564588,60220000,55845455,2024-01-03,10:30:00,개찰완료,53896000,88.989,2024-01-03,현진식품 영농조합법인,정재웅,정재웅,769-86-01247,전라남도 무안군 망운면 조금나루길22
