입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
MHD0102,4,상륙기동헬기 조종시뮬레이터 선행연구,용역,총액계약,협상에의한계약(서류),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,30000000,,0,2016-01-11,14:00:00,개찰완료,28000000,93.333,2016-02-11,재단법인 한국군사문제연구원,김형철,,126-82-20298,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)"
MHD0130,2,특수작전용 유탄발사기사업 선행연구,용역,총액계약,협상에의한계약(서류),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,74092000,,0,2016-01-05,14:00:00,개찰완료,71000000,95.826,2016-01-06,사단법인 안보경영연구원,전건욱,,120-82-07415,"서울특별시 강남구 언주로527, 10층 (역삼동)"
UMM0003,2,00부대 물절약 투자대행사업(WASCO  15-A047),용역,총액계약,협상에의한계약(전자),협상,N,국군재정관리단,ZD00303,국군재정관리단,ZD00303,,667000000,,0,2016-01-29,11:00:00,개찰완료,535467000,80.279,2016-01-29,주식회사 도화엔지니어링,손영일,유근영,211-81-08009,서울특별시 강남구 삼성로 438(대치동)
UMM0004,2,00부대 물절약 투자대행사업(WASCO  15-A048),물품,총액계약,협상에의한계약(전자),협상,N,국군재정관리단,ZD00303,국군재정관리단,ZD00303,,,,0,2016-02-03,11:00:00,유찰,,,,,,,,
UMM0860,2,16년 음향 영상장비 유지보수 용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,86.745,456378904,464429250,0,2016-01-05,11:00:00,개찰완료,396923000,86.972,2016-01-05,주식회사 케이원,송관섭,전대석,107-81-54150,"서울특별시 금천구 가산디지털2로14,  14층 1405, 1406호(가산동)"
UMM0922,2,16년 M&S센터 용역 사업,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,86.745,,312830000,0,2016-01-05,11:00:00,유찰,,,,,,,,
MHD0136,1,국방연구시설·장비 종합관리 방안 연구,용역,총액계약,협상에의한계약(서류),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,81180000,,0,2016-02-01,14:00:00,개찰완료,70626600,87,2016-02-26,(재)한국산업개발연구원,백훈,,214-82-00279,서울특별시 서초구 남부순환로319길 13(서초동)
UMM0831,4,16년 국방통합데이터센터 시설관리용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,86.745,529210266,534811880,0,2016-01-06,11:00:00,개찰완료,459068540,86.745,2016-01-06,주식회사 장풍에치알,손병종,이유진,106-81-66158,서울특별시 서초구 강남대로202 (양재동) 모산빌딩 4F
UMM0001,4,16년 국방통합데이터센터 시설관리용역(2),용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,86.745,481530581,486960000,0,2016-01-06,11:00:00,개찰완료,417746630,86.753,2016-01-06,주식회사 장풍에치알,손병종,이유진,106-81-66158,서울특별시 서초구 강남대로202 (양재동) 모산빌딩 4F
EGG0109,2,155밀리 모의신관류,물품,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000,0,2016-01-05,14:00:00,유찰,,,,,,,,
EGG0109,3,155밀리 모의신관류,물품,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000,0,2016-01-12,14:00:00,유찰,,,,,,,,
EGG0109,4,155밀리 모의신관류,물품,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000,0,2016-01-26,14:00:00,순위확정,,,,,,,,
SFL0014,1,16-교-입영신체검사(흉부검사) 위탁용역,용역,총액계약,일반경쟁,적격심사제,Y,제3283부대,ZD00157,제3283부대,ZD00157,87.745,86480377,87378640,0,2016-01-26,10:30:00,개찰완료,76670388,88.656,2016-01-26,(사) 한국건강관리협회경상북도지부,김인원,유찬국,504-82-00814,대구광역시 북구 팔달로25-0 (노원동3가)
UMM0014,1,스펙트럼용 분석기 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,80917831,82029000,0,2016-01-29,11:00:00,개찰완료,71225000,88.021,2016-01-29,미래상사,김정윤,김정윤,301-29-35140,충청북도 청주시 상당구 월평로250번길6-0 (용암동)
MHD0003,1,2016년 군용항공기 감항인증 국제회의 행사진행,용역,총액계약,협상에의한계약(서류),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,130000000,,0,2016-03-03,14:00:00,개찰완료,123300000,94.846,2016-03-08,주식회사 빅앤츠,백승우,,114-87-08087,"서울특별시 서초구 서초대로57, 3층 (방배동)"
MDJ0008,1,16년 대전병원 장비운영유지비(외과장비3) 구매,물품,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0,45733531,46450000,0,2016-02-04,10:30:00,개찰완료,35000000,76.53,2016-02-04,주식회사 아폴론상사,김대한,신승만,105-87-91807,"경기도 남양주시 가운로1길7, 307호 (가운동, 드림프라자)"
MDJ0007,1,16년 대전병원 장비운영유지비(외과장비1) 구매,물품,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0,26066573,25992400,0,2016-02-04,10:30:00,개찰완료,25900000,99.36,2016-02-04,(주)이삭메디칼,김지회,김지회,212-81-56557,충청북도 충주시 노은면 안락안골1길65
LPH0005,1,팥빙수 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,1213,1213,0,2016-02-04,11:00:00,개찰완료,1007,83.002,2016-02-04,용마로지스주식회사,이종철,강동성,211-86-40630,"경기도 김포시 고촌읍 아라육로78, 2동"
LPH0006,1,바나나우유 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,832,825,0,2016-02-04,11:00:00,개찰완료,697,83.742,2016-02-04,(주)청우식품,박윤구,김두현,132-81-02380,경기도 포천시 영중면 먼재길129
LPH0007,1,콜라 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,529,533,0,2016-02-04,11:00:00,개찰완료,439,83.002,2016-02-04,태림농산,김심선,백미영,622-12-61815,경상남도 김해시 장재로520번안길8-14 (생림면)
LPH0009,1,과일탄산 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,487,485,0,2016-02-04,11:00:00,개찰완료,404,82.998,2016-02-04,농심태경 주식회사,천영규,김필주,118-81-10754,서울특별시 동작구 여의대방로112 (농심빌딩) 도연관 13층
MDJ0009,1,16년 대전병원 장비운영유지비(영상장비) 구매,물품,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0,,21157520,0,2016-02-04,10:30:00,유찰,,,,,,,,
MDJ0009,2,16년 대전병원 장비운영유지비(영상장비) 구매,물품,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0,21117851,21157520,0,2016-02-16,10:30:00,개찰완료,21000000,99.441,2016-02-18,(주)도원씨앤씨,김경호,김경호,408-81-72992,전라남도 화순군 화순읍 만연중앙길19
LPH0010,1,혼합음료 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,536,533,0,2016-02-04,11:00:00,개찰완료,448,83.651,2016-02-04,미가온,변정순,이용진,106-02-51645,경기도 파주시 장명산길174-20 (오도동)
LPH0011,1,탄산수 구매,물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,532,533,0,2016-02-04,11:00:00,개찰완료,469,88.035,2016-02-04,주식회사 엔에이치,이남택,조승희,141-81-34270,경기도 남양주시 진접읍 내각1로73번길38-1
LPH0012,1,이온음료 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,471,467,0,2016-02-04,11:00:00,개찰완료,394,83.753,2016-02-04,미가온,변정순,이용진,106-02-51645,경기도 파주시 장명산길174-20 (오도동)
LPH0013,1,알로에음료 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,483,485,0,2016-02-04,11:00:00,개찰완료,401,83.007,2016-02-04,주식회사 에스피씨삼립,황종현,임동혁,133-81-22244,경기도 시흥시 공단1대로 101(정왕동)
LPH0014,1,마시는발효유 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,577,582,0,2016-02-04,11:00:00,개찰완료,480,83.198,2016-02-04,(주)비락,이항용,조봉래,617-81-07886,부산광역시 남구 자성로152 (문현동) 한일오피스텔 12층
LPH0015,1,떠먹는발효유 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,392,398,0,2016-02-04,11:00:00,개찰완료,327,83.431,2016-02-04,주식회사 에치와이,김병진,정철희,114-81-70065,서울특별시 서초구 강남대로577-0 (잠원동)
LPH0016,1,짜먹는발효유 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,240,242,0,2016-02-04,11:00:00,개찰완료,199,83.009,2016-02-04,주식회사 에스피씨삼립,황종현,임동혁,133-81-22244,경기도 시흥시 공단1대로 101(정왕동)
LPH0017,1,떠먹는 젤리 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,722,728,0,2016-02-04,11:00:00,개찰완료,599,83.012,2016-02-04,주식회사 에스피씨삼립,황종현,임동혁,133-81-22244,경기도 시흥시 공단1대로 101(정왕동)
LPH0018,1,한줌견과 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,678,679,0,2016-02-04,11:00:00,개찰완료,563,83.002,2016-02-04,롯데칠성음료(주),박윤기,고성재,214-81-07770,서울특별시 서초구 서초대로70길15 (서초동)
LPH0019,1,특근자용 치즈케이크(제조),물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,,679,0,2016-02-05,11:00:00,유찰,,,,,,,,
LPH0019,2,특근자용 치즈케이크(제조),물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,673,679,0,2016-02-19,11:00:00,개찰완료,593,88.064,2016-02-19,유한회사징코푸드시스템,문요환,임형근,404-81-36427,전라북도 부안군 주산면 주산동로80-7
LPH0020,1,콘브레드(제조),물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,,679,0,2016-02-05,11:00:00,유찰,,,,,,,,
LPH0020,2,콘브레드(제조),물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,670,679,0,2016-02-19,11:00:00,개찰완료,598,89.226,2016-02-19,유한회사징코푸드시스템,문요환,임형근,404-81-36427,전라북도 부안군 주산면 주산동로80-7
LPH0023,1,짜장컵밥 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,1452,1456,0,2016-02-05,11:00:00,개찰완료,1207,83.129,2016-02-05,주식회사 에스아이케이,손일식,이태영,303-81-39780,경기도 여주시 세종대왕면 양화로438-0
LPH0024,1,허니감자스낵 구매,물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,1165,1165,0,2016-02-05,11:00:00,개찰완료,1025,88.005,2016-02-05,(주)동진푸드,안교영,안혜윤,132-81-46146,경기도 남양주시 진접읍 부마로137번길 16()
SCH0018,1,해상사격표적(풍선 등 2종) 구매,물품,총액계약,일반경쟁,최저가격제,N,해군작전사령부,ZD00137,해군작전사령부,ZD00137,0,53608754,54600000,0,2016-02-02,14:00:00,개찰완료,29920800,55.813,2016-02-02,알티하이텍,박영민,박영민,212-24-52766,"서울특별시 강동구 구천면로192, 720호(천호동,천호역 한강 푸르지오시티)"
LCF0012,1,넬라톤카테터 등 234품목 구매(물품),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,74325117,74749000,0,2016-02-02,10:30:00,개찰완료,65480000,88.099,2016-02-02,주식회사 소망약품,박현주,배선아,410-81-78382,전라남도 나주시 산포면 매성길75
LPH0028,1,신병증식용 치즈케이크 구매(제조),물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,,679,0,2016-02-05,11:00:00,유찰,,,,,,,,
LPH0028,2,신병증식용 치즈케이크 구매(제조),물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,674,679,0,2016-02-19,11:00:00,개찰완료,596,88.352,2016-02-19,유한회사징코푸드시스템,문요환,임형근,404-81-36427,전라북도 부안군 주산면 주산동로80-7
LPH0027,1,탄산음료 구매,물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,524,533,0,2016-02-05,11:00:00,개찰완료,461,88.047,2016-02-05,(주)제이에스와이글로벌,윤진수,윤진수,234-81-07774,경기도 김포시 양촌읍 황금로128번길88-0
LPH0026,1,신병증식용 핫바 구매,물품,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,671,679,0,2016-02-05,11:00:00,개찰완료,592,88.183,2016-02-05,대승상사,이대창,이대창,128-39-88532,경기도 파주시 파주읍 오봉골길254
UMM0030,1,13-본-국대-01 00학교이전 공기조화기 제조설치,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,483537073,480490120,0,2016-02-12,11:00:00,개찰완료,426478300,88.199,2016-02-12,한국냉열공사,노세환,진미숙,603-09-91128,부산광역시 서구 구덕로250번길14-1 (부용동1가)
UMM0031,1,13-본-국대-01 00학교이전 PE전선관 등 2종 제조,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,80916523,81924530,0,2016-02-12,11:00:00,개찰완료,79320483,98.027,2016-02-12,영진화학주식회사,이성배,이성배,303-81-46831,충청북도 충주시 노은면 점터길 17()
LDH0107,1,충전기집적회로등17종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,32052173,31785000,0,2016-02-12,11:30:00,개찰완료,28924350,90.241,2016-02-12,시온테크,박혜성,박혜성,312-27-10674,충청남도 천안시 서북구 백석공단1로10-0 (백석동)
LDH0108,1,D형들고리등13종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,11266102,11353000,0,2016-02-12,11:30:00,개찰완료,9977000,88.557,2016-02-12,진흥기계공업,박영진,박영진,609-54-75198,경상남도 창원시 의창구 도계로 48()
LDH0109,1,락카스프레이황색등24종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,5580720,5635000,0,2016-02-12,11:30:00,개찰완료,4989261,89.401,2016-02-12,한결통상,이진숙,이진숙,484-10-00167,"충청남도 당진시 대호만로30-33 (채운동), 상가동 102호"
LCG0003,1,16-1차 전산운영용품 구매,물품,총액계약,제한경쟁,적격심사제,Y,육군본부,1290298,육군본부,1290298,87.995,43785017,43781950,0,2016-02-11,11:00:00,개찰완료,38578200,88.108,2016-02-11,주식회사 링크글로벌,박인규,박인규,106-86-91026,서울특별시 용산구 효창원로39-0 (신창동)
LMP0002,1,16년 군숙소 도배 장판 교체용역(단가),용역,총액계약,제한경쟁,적격심사제,Y,제1968부대,ZD00507,제1968부대,ZD00507,87.745,56114829,56411320,0,2016-02-12,11:00:00,개찰완료,49287790,87.833,2016-02-12,썬샤인창호산업(유),김종순,김은수,222-81-15984,강원특별자치도 태백시 철암공단길 37()
LCG0002,2,인권교육용 영상교재 제작 용역,용역,총액계약,2단계경쟁(동시),최저가격제,N,육군본부,1290298,육군본부,1290298,0,40738157,41000000,0,2016-02-12,10:00:00,개찰완료,40100000,98.433,2016-02-12,(주)자우미디어,최윤희,최윤희,114-86-52548,"서울특별시 서초구 동광로65, 3층(방배동, 방배빌딩)"
UMM0018,1,보장구 80종 구매,물품,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,599297857,611273400,0,2016-01-29,11:00:00,개찰완료,500205850,83.465,2016-01-29,성모의지,곽동주,곽동희,501-10-71327,대구광역시 동구 매여로102-0 (각산동)
LMS0039,1,크림빵 구매(제조),물품,단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465,0,2016-01-28,14:00:00,유찰,,,,,,,,
LMS0039,2,크림빵 구매(제조),물품,단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465,0,2016-02-04,14:00:00,유찰,,,,,,,,
LMS0040,1,크림빵 구매(제조),물품,단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465,0,2016-01-28,14:00:00,유찰,,,,,,,,
LMS0040,2,크림빵 구매(제조),물품,단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465,0,2016-02-04,14:00:00,유찰,,,,,,,,
MHD0004,1,2016년 방산기술보호 국제 컨퍼런스 행사진행,용역,총액계약,협상에의한계약(서류),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,141400000,,0,2016-02-03,14:00:00,개찰완료,138990000,98.295,2016-02-05,(주)피오디커뮤니케이션즈,이정우,,105-86-86781,서울특별시 영등포구 당산로41길11 당산 SK V1 센터 W동 1002호-1003호
EGG0003,1,16년 대공표적기지원용역(오리콘  비호용),용역,총액계약,제한경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,1132147900,1138760000,0,2016-02-25,10:30:00,개찰완료,976500000,86.251,2016-02-25,아주실업주식회사,정지수,정지수,120-81-17070,경기도 용인시 처인구 포곡읍 한금로 162-15(아주실업)
UMM0016,1,컨테이너 2종 제조 설치,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,144201842,145966000,0,2016-01-29,10:30:00,개찰완료,126908000,88.007,2016-01-29,유한회사 은광기업,고영남,남선미,411-81-74429,전라북도 정읍시 3산단3길95-0 (북면)
UMM0019,1,미세먼지 방지마스크 구매,물품,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,257666301,259912000,0,2016-01-29,11:00:00,개찰완료,215253520,83.539,2016-01-29,케이웨더 주식회사,김동식,김영준,110-81-37628,"서울특별시 구로구 디지털로26길5, 4층 401호 (구로동, 에이스하이엔드타워)"
UMM0020,1,16년 MW EMS 유지보수 용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,86.745,233342228,236140000,0,2016-01-27,11:00:00,개찰완료,202958940,86.979,2016-01-27,한일통신 주식회사,강창선,주부연,314-81-93654,"대전광역시 유성구 테크노8로28, 2층(용산동)"
