"전시회명","개최국","기간","전시품목"
"Farnborough Airshow","영국","2020-07-20","항공"
"Defenpol China","중국","2020-07-17","보안"
"CYDES","말레이시아","2020-06-23","사이버"
"Eurosatory","프랑스","2020-06-08","방산"
"KADEX","카자흐스탄","2020-05-28","육/해/공"
"LANPAC","미국","2020-05-19","육/해/공"
"International Police EXPO","인도","2020-05-14","보안/대테러"
"ILA Berlin Airshow","독일","2020-05-13","항공"
"AUVSI","미국","2020-05-04","무인차량"
"ITEC","영국","2020-04-28","육/해/공 시뮬레이션"
"SPIE D&amp;CS","미국","2020-04-26","보안"
"LAAD Security","브라질","2020-04-14","보안"
"SOFEX","요르단","2020-03-31","특수전장비"
"FIDAE","칠레","2020-03-31","항공"
"ISNR","아랍에미리트","2020-03-17","방산/보안"
"World ATM Congress","스페인","2020-03-10","보안"
"Aviation Afrca","에티오피아","2020-03-04","항공"
"MARINE MILITARY EXPOS","미국","2020-02-28","해병"
"ANNUAL AOC","미국","2020-12-08","방산"
"EDEX","이집트","2020-12-07","방산"
"EXPONAVAL","칠레","2020-12-01","해상"
"IDEAS","파키스탄","2020-11-24","육/해/공"
"Bahrain international Airshow","바레인","2020-11-18","항공"
"MILCIS","오스트레일리아","2020-11-10","통신/정보"
"ZHUHAI Airshow","중국","2020-11-10","항공"
"Indo Defence","인도네시아","2020-11-04","육/해/공"
"mast/japan defence","일본","2020-11-02","방산"
"Milipol Qatar","카타르","2020-10-26","민/군/보안"
"Future Forces International Exhibition","체코","2020-10-21","육/해/공"
"Euronaval","프랑스","2020-10-20","해상"
"Arms and security","우크라이나","2020-10-13","방산/보안"
"AUSA","미국","2020-10-12","지상방산"
"HEMUS","불가리아","2020-09-30","방산품목"
"Cbrne protection symposium","스웨덴","2020-09-24","항공/방산"
"ADAS","필리핀","2020-09-23","방산"
"Africa Aerospace &amp; Defence","남아프리카공화국","2020-09-16","특수전장비"
"DX-Korea","대한민국","2020-09-16","지상"
"VIDSE","베트남","2020-09-14","방산"
"ADEX","아제르바이잔","2020-09-08","육/해/공"
"MSPO","폴란드","2020-09-08","육/해/공"
"LAND FORCES AUSTRAILIA","오스트레일리아","2020-09-01","지상"
"FSI Exhibition","노르웨이","2020-08-26","방산/보안"
"DSA","말레이시아","2020-08-24","방산/보안"
"army 2020","러시아","2020-08-23","육/해/공"
