구분,명칭,주관부서,제정호수,재정일자,개정호수,개정일자,비고
법령,방위사업법,국방부(전력정책과),7845,2006-01-02,18805,2022-02-03,
법령,군용항공기 비행안전성 인증에 관한 법률,인증기획과(국방부 :전력정책과),9560,2009-04-01,16353,2019-04-23,
법령,방위산업기술 보호법(약칭: 방산기술보호법),국방부(전력정책과),13632,2015-12-29,17683,2020-12-22,
법령,방위산업 발전 및 지원에 관한 법률,국방부(전력정책과),16929,2020-02-04,17799,2020-12-29,
법령,국방과학기술혁신 촉진법,국방부(전력정책과),17163,2020-03-31,,,
법령,국방과학연구소법,국방부(전력정책과),2258,1970-12-31,13238,2015-03-27,
법령,민·군기술협력 사업촉진법,산업통상자원부(기계로봇과)·국방부(전력정책과),5535,1998-04-10,16998,2020-01-11,
법령,방위사업법 시행령,국방부(전력정책과),19321,2006-02-08,32934,2022-10-04,
법령,군용항공기 비행안전성 인증에 관한 법률 시행령,인증기획과(국방부 :전력정책과),21652,2009-07-30,32868,2022-08-09,
법령,방위산업기술 보호법 시행령,국방부(전력정책과),27264,2016-06-28,32968,2022-11-01,
법령,방위사업청과 그 소속기관 직제,조직인사담당관(행자부 :사회조직과),19200,2005-12-28,33092,2022-12-20,
법령,방위산업 발전 및 지원에 관한 법률 시행령,국방부(전력정책과),31424,2021-02-02,31557,2021-03-30,
법령,국방과학기술혁신 촉진법 시행령,국방부(전력정책과),31557,2021-03-30,,,
법령,국방과학연구소법 시행령,국방부(전력정책과),5490,1971-01-22,32223,2021-12-16,
법령,민·군기술협력 사업촉진법 시행령,산업통상자원부(기계로봇과)·국방부(전력정책과),16117,1999-02-19,31349,2020-12-31,
법령,방위사업법 시행규칙,국방부(전력정책과),598,2006-04-24,1053,2021-05-11,
법령,군용항공기 비행안전성 인증에 관한 법률 시행규칙,인증기획과(국방부 :전력정책과),684,2009-08-05,999,2019-10-24,
법령,방위산업기술 보호법 시행규칙,국방부(전력정책과),898,2016-06-28,1055,2021-06-22,
법령,방위사업청과 그 소속기관 직제 시행규칙,조직인사담당관(조직관리팀),588,2006-01-01,1103,2022-12-20,
법령,방위사업감독관 직무 등에 관한 규칙,국방부(전력정책과),890,2016-03-31,994,2019-09-17,
법령,방위산업에 관한 착수금 및 중도금 지급 규칙,국방부(전력정책과),444,1994-03-22,1077,2021-12-30,
법령,방산원가대상물자의 원가계산에 관한 규칙,국방부(전력정책과),443,1994-02-28,1104,2022-12-30,
법령,방위산업에 관한 계약 사무처리 규칙,국방부(전력정책과),357,1983-08-11,1093,2022-08-04,
법령,방위산업 발전 및 지원에 관한 법률 시행규칙,국방부(전력정책과),1044,2021-02-02,,,
법령,국방과학기술혁신 촉진법 시행규칙,국방부(전력정책과),1049,2021-03-30,,,
훈령,민원 처리규정,운영지원과,4,2006-01-13,762,2022-12-12,
훈령,옴부즈만제도운영에 관한 규정,공직감사담당관,24,2006-06-19,515,2019-07-24,
훈령,자체감사에 관한 규정,공직감사담당관,169,2012-01-02,667,2021-05-17,
훈령,행정서비스 헌장운영규정,운영지원과,266,2014-02-12,527,2019-09-18,
훈령,방위사업청 공무원 행동강령,공직감사담당관,2,2006-01-13,749,2022-08-26,
훈령,부패 신고 처리 및 신고자 보호 등에 관한 규정(구:부패행위신고 및 신고자 보호 등에 관한 규정),공직감사담당관,160,2011-10-12,745,2022-08-18,
훈령,국제계약지원단 운영규정,대외군사구매협력담당관,154,2011-07-08,728,2022-03-22,
훈령,방위사업청 조약 및 기관간 약정의 체결과 관리에 관한 규정,혁신행정법무담당관,179,2012-05-10,775,2022-12-30,
훈령,(방위사업청) 법무운영규정,혁신행정법무담당관,21,2006-06-07,725,2022-02-28,
훈령,민군기술협력사업 공동시행규정(구:민군겸용기술사업 공동시행규정),기술혁신과,67,2007-12-24,357,2016-04-28,
훈령,방위사업에 관한 홍보규정,대변인실,10,2006-04-10,779,2022-12-30,
훈령,방산협력관 선발 및 관리규정,국제협력총괄담당관,56,2007-05-10,457,2018-11-28,
훈령,방위산업물자 및 방위산업체 지정 규정(산업통상자원부 공동규정),방산정책과,89,2009-01-09,761,2022-12-08,
훈령,방산 중소기업 컨설팅 지원사업 운영규정,방위산업고도화지원과,180,2012-05-10,719,2022-01-26,폐지
훈령,청원경찰 징계 규정,운영지원과,33,2006-09-21,700,2021-11-23,
훈령,군인 인사관리 규정,조직인사담당관,48,2007-02-15,764,2022-12-13,
훈령,(방위사업청) 표창규정,조직인사담당관,27,2006-09-11,717,2022-01-24,
훈령,공무원 징계규정,조직인사담당관,29,2006-09-11,462,2018-11-28,
훈령,방위사업청 공무원 인사운영규정,조직인사담당관,25,2006-06-25,787,2022-12-30,
훈령,보수조정심의위원회운영규정,조직인사담당관,55,2007-05-01,548,2019-09-18,
훈령,공무국외출장 및 사적 국외여행 등에 관한 관리규정(구:국외여행관리규정),조직인사담당관,161,2011-11-11,614,2020-07-10,
훈령,방위사업청 보직관리규정,조직인사담당관,66,2007-10-31,465,2018-11-28,
훈령,청원경찰 근무 훈령,운영지원과,32,2006-09-21,699,2021-11-23,
훈령,기록물 관리 규정,운영지원과,131,2010-11-18,612,2020-07-07,
훈령,공무직 및 기간제근로자 관리규정(구:무기계약 및 기간제근로자 관리규정),조직인사담당관,72,2008-02-18,694,2021-11-03,
훈령,군용항공기 비행안전성 인증에 관한 업무규정,인증기획과,114,2009-12-11,619,2020-08-11,
훈령,회계관계공무원 재정보증 규정,재정운영담당관,20,2006-05-30,701,2021-11-23,
훈령,회계관계공무원 등의 지정과 임면의 위임에 관한 규정,재정운영담당관,19,2006-05-30,659,2021-01-25,
훈령,국방전자조달시스템 관리규정,정보화기획담당관,233,2013-10-14,778,2021-12-30,
훈령,정보화 업무 처리 규정,정보화기획담당관,193,2012-10-17,776,2022-12-30,
훈령,방위사업청 후원명칭 사용승인에 관한 규정(폐지·제정),정책조정담당관,617,2020-07-16,,,
훈령,전문연구기관 위촉 및 해지규정,정책조정담당관,87,2009-01-01,702,2021-11-23,
훈령,정책심의회의 운영규정,정책조정담당관,62,2007-08-27,558,2019-10-17,
훈령,정책연구관리 규정,정책조정담당관,12,2006-04-17,654,2021-01-01,
훈령,정책자문위원회 규정,정책조정담당관,37,2006-10-23,543,2019-09-18,
훈령,(방위사업청) 계약심의위원회 운영규정,조달기획과,7,2006-03-22,783,2022-12-30,
훈령,방위사업청 소속기관의 하부조직 편성에 관한규정,조직인사담당관,16,2006-05-01,767,2022-12-20,
훈령,방위사업청과 그 소속기관 위임전결 규정,혁신행정법무담당관,17,2006-05-09,758,2022-11-21,
훈령,방위사업청 공무원제안제도 운영규정,혁신행정법무담당관,26,2006-08-30,693,2021-11-03,
훈령,(방위사업청) 자체평가위원회 운영 규정,혁신행정법무담당관,9,2006-03-31,686,2021-07-23,
훈령,"조직, 정원관리 및 파트리더 설치 운영규정",조직인사담당관,45,2006-12-20,769,2022-12-30,
훈령,행정정보 공개규정,혁신행정법무담당관,11,2006-04-10,688,2021-07-23,
훈령,방위사업에 관한 계약사무처리시행세칙,조달기획과,39,2006-11-01,780,2022-12-30,
훈령,회계처리 및 구분회계 기준에 관한 훈령 ,원가관리과,92,2009-02-03,772,2022-12-30,
훈령,방산원가대상물자의 원가계산에 관한 시행세칙,원가관리과,38,2006-11-01,770,2022-12-30,
훈령,방위산업에 관한 착수금 및 중도금 지급세칙,조달기획과,93,2009-02-03,781,2022-12-30,
훈령,방위사업청 산하 출연기관 업무감독 규정,기술정책과,113,2009-12-01,635,2020-11-23,
훈령,국방기술품질원장 추천위원회 운영규정,인증기획과(*소관부서 변경),149,2011-06-09,633,2020-10-29,
훈령,연구개발장려금 지급규정,기술정책과,98,2009-06-02,599,2020-05-19,
훈령,방위사업관리규정,방위사업정책과,65,2007-10-30,791,2023-01-05,
훈령,방위력개선사업 예산운용규정,재정운영담당관,282,2014-05-22,658,2021-01-25,
훈령,소형무장헬기·소형민수헬기 연계개발사업 공동규정,소형무장헬기사업팀,279,2014-05-08,655,2021-01-01,
훈령,(방위사업청) 보안업무규정(비공개 규정),운영지원과,30,2006-09-15,689,2021-09-17,
훈령,BSC 성과평가 운영 규정,혁신행정법무담당관,2007-16,2007-03-07,656,2021-01-01,
훈령,공익신고 처리 및 신고자 보호 등에 관한 규정,공직감사담당관,311,2014-10-15,744,2022-08-18,
훈령,인력구조개편추진위원회 설치 및 운영에 관한 규정,조직인사담당관,329,2015-05-18,703,2021-11-23,
훈령,군수품 선택계약 업무처리 규정,일반물자 조달청이관 사후관리TF,336,2015-07-01,534,2019-09-18,
훈령,무기체계 소프트웨어 개발 지원에 관한 규정,방위사업분석과,327,2015-04-09,683,2021-07-23,
훈령,멘토링 운영규정,조직인사담당관,341,2015-10-02,458,2018-11-28,
훈령,방위사업청 내 위원회의 투명한 운영에 관한 규정,감독총괄담당관,383,2016-11-22,766,2022-12-19,
훈령,방위산업육성 지원사업 공통 운영규정,방산정책과,388,2016-12-30,784,2022-12-30,
훈령,방위산업기술 보호 유공자 포상 규정,기술보호과,392,2017-01-06,469,2018-11-28,
훈령,방위산업기술 보호체계 구축 지원사업 운영규정,기술보호과,417,2017-07-04,733,2022-05-26,
훈령,방위사업청 부정청탁 및 금품 등 수수의 신고사무 처리지침,공직감사담당관,419,2017-07-10,632,2020-10-27,
훈령,국방연구개발 시설·장비의 관리 등에 관한 규정,기술정책과,422,2017-09-28,636,2020-11-23,
훈령,무기체계 부품국산화개발 관리규정,방산일자리과,438,2018-06-05,785,2021-12-30,
훈령,방위사업 감독 규정,감독총괄담당관,480,2018-12-21,750,2022-09-05,
훈령,군수품조달관리규정,조달기획과,494,2019-01-10,782,2022-12-30,
훈령,방위산업기술 보호지침,기술보호과,492,2019-02-21,741,2022-06-23,
훈령,옴부즈만 지체상금 심의위원회 운영규정,방위사업정책과,496,2019-03-21,641,2020-12-22,
훈령,방위사업 품질관리 규정,인증기획과,502,2019-04-18,794,2023-03-09,
훈령,방위사업청 데이터 품질관리 규정,정보화기획담당관,513,2019-07-09,777,2022-12-30,
훈령,국제경쟁력강화 지원사업 운영규정,국제협력총괄담당관,514,2019-07-15,737,2022-06-02,
훈령,기업민원 보호·서비스 헌장 운영규정,운영지원과,555,2019-09-23,,,
훈령,적극행정위원회 운영규정,혁신행정법무담당관,557,2019-10-01,696,2021-11-22,
훈령,방위사업청 노사협의회 운영규정,운영지원과,565,2019-11-05,,,
훈령,적극행정공무원의 징계절차에서의 소명 또는 소송 등에 관한 지원 지침,혁신행정법무담당관,568,2019-12-23,,,
훈령,무기체계 수리부속품 및 하도급계약의 원가계산에 관한 규정(구:하도급업체 원가계산 기준에 관한 지침),원가관리과,574,2019-12-31,771,2022-12-30,
훈령,부정청구등 신고 처리 및 신고자 보호 등에 관한 규정,공직감사담당관,601,2020-06-05,,,
훈령,피아식별장비(Mode-5)AIMS 보안업무지침(비공개 규정),피아식별장비사업팀,605,2020-06-26,,,
훈령,군수품 조달의 조달청 위탁에 관한 공동훈령,조달기획과,606,2020-07-01,722,2022-02-01,
훈령,상소자문단 운영규정,혁신행정법무담당관,608,2020-07-01,774,2022-12-30,
훈령,표준화 업무규정,표준기획과,2006-37,2006-07-03,765,2022-12-19,
훈령,방위사업청 공무원의 주식거래 제한에 관한 지침,공직감사담당관,646,2020-12-24,,,
훈령,방위사업청 사전컨설팅 운영 규정,사업감사담당관,666,2021-05-17,,,
훈령,획득단계 수명주기관리규정,방위사업정책과,673,2021-07-07,754,2022-10-04,
훈령,방위사업교육원 운영에 관한 규정,교육기획과,678,2021-07-13,,,
훈령,군용총포·도검·화약류 허가·감독에 관한 지침,방위산업발전TF,705,2021-12-10,746,2022-08-22,
훈령,방위산업 계약학과 지원사업 운영규정,방산일자리과,714,2022-01-20,789,2023-01-03,
훈령,특성화고 산학연계 맞춤형 교육 지원사업 운영규정,방산일자리과,715,2022-01-20,790,2023-01-03,
훈령,방위산업 전문인력 양성사업 운영규정,방산일자리과,716,2022-01-20,788,2023-01-03,
훈령,방위산업 진입을 위한 지원사업 공통운영규정,방산일자리과,720,2022-01-26,786,2022-12-30,
훈령,육아휴직 결원보충 활성화를 위한 방위사업청과 그 소속기관에 두는 별도정원 운영규정,조직인사담당관,726,2022-02-28,,,
훈령,방위사업청 공무원의 부동산 신규취득 제한에 관한 지침,공직감사담당관,730,2022-03-22,,,
훈령,방위사업청 청렴 및 이해충돌방지 자문위원회 운영규정,공직감사담당관,732,2022-05-25,,,
훈령,방위사업청 공직자의 이해충돌 방지제도 운영지침,공직감사담당관,738,2022-06-03,,,
훈령,방위사업청 청렴시민감사관 운영 규정,혁신행정법무담당관,752,2022-09-27,773,2022-12-30,
훈령,자율기구 방위사업미래혁신담당관의 설치 및 운영에 관한 규정,,755,2022-10-06,768,2022-12-20,
훈령,패키지시설사업 관리규정,방위사업 분석과,763,2022-12-13,,,
예규,계약변경업무 처리지침 ,조달기획과,2006-62,2006-11-02,752,2021-11-09,
예규,과학적사업관리 수행지침,방위사업분석과,257,2014-10-07,723,2021-07-23,
예규,주거지원 운영 및 관리지침(구:관사운영 및 관리지침),운영지원과,2009-27,2009-01-15,694,2021-01-01,
예규,국방과학기술 정보관리 업무지침,기술혁신과,2010-16,2010-03-30,446,2018-11-28,
예규,국방전자조달시스템 전자계약 사무처리 지침,조달기획과,2009-29,2009-03-27,709,2021-04-01,
예규,국방전자조달시스템 전자입찰 특별유의서,조달기획과,2009-28,2009-03-27,708,2021-04-01,
예규,국방전자조달시스템 이용에 관한 약관,조달기획과,2009-27,2009-03-27,707,2021-04-01,
예규,국외사업 현장감독관 선발 및 운영지침(구:국외파견사업 관리요원선발 및 운영지침),기반전력사업총괄팀,2006-63,2009-03-27,687,2020-12-30,
예규,국외조달 2단계 입찰유의서 ,조달기획과,2007-14,2006-06-01,717,2021-05-12,
예규,국외조달 일반경쟁 입찰유의서,조달기획과,2007-14,2006-11-03,716,2021-05-12,
예규,국외조달 적격심사 기준,조달기획과,2006-14,2007-02-15,838,2022-12-30,
예규,국외조달(기술용역) 계약일반조건 ,조달기획과,2007-12,2007-02-15,821,2022-12-16,
예규,국외조달(무기체계) 계약일반조건 ,조달기획과,2007-11,2006-03-16,822,2022-12-16,
예규,국외조달(성과기반군수지원) 계약일반조건,조달기획과,271,2007-02-15,827,2022-12-16,
예규,국외조달(수리부속) 계약일반조건 ,조달기획과,2007-10,2007-02-15,824,2022-12-16,
예규,국외조달(일반장비) 계약일반조건 ,조달기획과,2007-9,2015-01-12,823,2022-12-16,
예규,국외조달(한도액부품) 계약일반조건 ,조달기획과,2007-8,2007-02-15,825,2022-12-16,
예규,국외조달(한도액 해외정비) 계약일반조건 ,조달기획과,2007-7,2007-02-15,826,2022-12-16,
예규,국제운송 적격심사 기준,조달기획과,2006-13,2007-02-15,848,2022-12-30,
예규,군수품 감액업무처리지침,조달기획과,2009-45,2007-02-15,835,2022-12-30,
예규,기성제도 운영지침,조달기획과,2008-27,2006-03-20,757,2021-12-20,
예규,기술성숙도평가(TRA) 업무지침,선행연구과,2012-8,2008-04-23,725,2021-07-23,
예규,무기체계 RAM 업무지침,방위사업분석과,156,2009-07-01,726,2021-07-23,
예규,무기체계 연구개발의 투자주체 선정등에 관한 지침,방위사업정책과,2012-18,2008-12-01,755,2021-11-23,
예규,방위력개선사업 협상에 의한 계약체결 기준(구:무기체계 제안서 평가업무지침),방위사업정책과,399,2017-09-26,831,2022-12-30,
예규,물품 적격심사 기준,조달기획과,2006-12,2006-03-20,836,2022-12-30,
예규,물품 제조·구매 계약특수조건 표준(일반 및 방산),조달기획과,2009-30,2009-03-27,842,2022-12-30,
예규,물품 제조·구매 계약특수조건 표준(특정조달),조달기획과,2009-30,2008-02-18,843,2022-12-30,
예규,방산관련 협회(단체)에 대한 주무관청 감독 업무지침,방산정책과,2006-24,2006-05-01,803,2022-09-06,
예규,방산물자 감손율 산정 지침,원가관리과,2006-70,2006-12-28,790,2022-06-23,
예규,방산물자용 비축원자재 관리지침,방산일자리과,378,2017-06-20,728,2021-07-23,
예규,방산수출 후속군수지원에 관한 지침,국제협력총괄담당관,2009-65,2009-12-15,753,2021-11-23,
예규,방산수출심의위원회 운영 지침,기술보호과,153,2013-08-26,729,2021-07-23,
예규,방산전시회 참가비 및 시장개척활동비 국고보조금 지급 지침 ,국제협력총괄담당관,2008-12,2008-03-13,644,2020-05-22,
예규,방위사업 입찰질서 공정화에 관한 지침,조달기획과,224,2014-06-03,850,2022-12-30,
예규,방위사업청 공무원 맞춤형 복지제도 운영지침 ,운영지원과,2009-8,2009-01-15,695,2021-01-01,
예규,당직근무 지침,운영지원과,191,2012-09-26,668,2020-07-24,
예규,방위사업청 방첩업무 규정(구:방첩업무 시행지침),운영지원과,154,2013-08-29,807,2022-10-18,
예규,보훈복지단체 수의계약업무처리지침,미래전력사업전력운영계약팀,2008-4,2008-02-18,820,2022-12-12,소관부서 변경
예규,분석평가업무 실무지침,방위사업분석과,2008-19,2008-07-11,730,2021-07-23,
예규,상호운용성 관리지침,방위사업분석과,2006-47,2006-07-18,731,2021-07-23,
예규,선금지급조건,조달기획과,2009-5,2009-01-14,832,2022-12-30,
예규,성희롱·성폭력 예방 및 2차 피해 방지 지침(구: 성희롱·성폭력 예방 지침),조직인사담당관,2007-25,2007-05-17,739,2021-08-11,
예규,수상함 적격심사기준,조달기획과,2006-29,2006-05-11,813,2022-11-17,
예규,수중함 적격심사기준,조달기획과,2007-32,2007-07-10,814,2022-11-17,
예규,업체생산 및 정비능력 확인지침,조달기획과,2007-17,2007-03-13,834,2022-12-30,
예규,역경매입찰특별유의서,조달기획과,2012-26,2012-06-29,710,2021-04-01,
예규,외주정비 계약특수조건 표준,조달기획과,223,2014-06-03,844,2022-12-30,
예규,용역 계약 특수조건 표준,조달기획과,2008-7,2008-02-18,845,2022-12-30,
예규,용역 적격심사 기준,조달기획과,2007-27,2007-06-04,840,2022-12-30,
예규,원가계산 관리지침 ,원가관리과,2006-66,2006-12-01,610,2020-01-01,
예규,원가회계심의위원회 운영지침,원가관리과,177,2014-02-06,788,2022-06-08,
예규,일반무기체계 연구개발 계약특수조건 표준,조달기획과,2009-44,2009-07-01,846,2022-12-30,
예규,장비정비 용역 적격심사기준,조달기획과,2009-38,2009-04-07,837,2022-12-30,
예규,전투근무지원정 적격심사기준,조달기획과,168,2014-01-28,839,2022-12-30,
예규,절충교역 지침,절충교역과,2008-1,2008-01-24,830,2022-12-19,
예규,제조성숙도평가(MRA) 업무지침,선행연구과,2012-9,2012-04-06,732,2021-07-23,
예규,조달원 등록정보 관리지침,조달기획과,2010-14,2010-03-26,833,2022-12-30,
예규,중소기업자간 경쟁제품 계약이행능력 심사기준,조달기획과,2007-22,2007-05-01,841,2022-12-30,
예규,한도액 계약운영지침,조달기획과,2006-60,2006-11-01,847,2022-12-30,
예규,함정건조 계약특수조건표준(일반 및 방산),조달기획과,2008-8,2008-02-18,861,2023-01-30,
예규,국방기술 연구개발 업무처리 지침(구:핵심기술 연구개발 업무처리 지침),기술정책과,2010-41,2010-11-12,769,2022-03-03,
예규,민·군규격 표준화 업무지침 ,표준기획과,2006-38,2006-07-03,829,2022-12-19,
예규,국방규격·표준서의 서식 및 작성에 관한 지침,표준기획과,2006-36,2006-07-03,828,2022-12-19,
예규,구매요구서의 서식 및 작성에 관한 지침 ,표준기획과,305,2016-03-14,607,2019-12-18,
예규,국제 군사과학기술 경진대회 평가업무 지침,기술정책과,431,2018-06-04,449,2018-11-28,
예규,지식재산권 관리지침,기술정책과,475,2019-01-11,715,2021-04-30,
예규,방위사업청 공용차랑 관리지침,운영지원과,493,2019-03-07,791,2022-08-04,
예규,성과기반계약 운영지침,조달기획과,570,2019-09-18,849,2022-12-30,
예규,채권양도 업무지침,미래전력사업총괄팀,571,2019-09-18,,,
예규,방산원가관리체계 인증제도 운영지침,원가관리과,573,2019-09-18,762,2021-12-30,
예규,국외 상업구매 업무지침,조달기획과,574,2019-09-18,854,2023-01-11,
예규,목표가격 관리지침,원가관리과,575,2019-09-18,806,2022-10-13,
예규,역경매 업무처리지침,조달기획과,576,2019-09-18,711,2021-04-01,
예규,회계업무 처리지침,운영지원과(재무팀),577,2019-09-18,802,2022-08-26,
예규,전시 국외 현지구매 지침,대외군사구매협력담당관,578,2019-09-18,,,
예규,국제계약 민간전문가 운영지침,조달기획과,579,2019-09-18,851,2020-12-30,
예규,방위사업기획·관리실무위원회 운영규정,정책조정담당관,598,2019-10-21,766,2022-02-28,
예규,도서관 운영 및 관리지침,운영지원과,611,2020-01-02,,,
예규,신속시범획득사업 업무관리 지침,신속시범사업팀,613,2020-01-03,852,2023-01-03,
예규,실태조사심의 위원회 운영규정,기술보호과,633,2020-03-17,700,2021-02-10,
예규,방위사업청 인사고충상담지침,조직인사담당관,669,2020-07-24,,,
예규,신속연구개발사업 업무관리 지침,방위사업정책과,703,2021-03-18,853,2023-01-03,
예규,원가관리 자문단 구성 및 운영지침,원가관리과,713,2021-04-26,,,
예규,다파로 운영 규정,방산정책과,719,2021-05-27,,,
예규,선행연구 수행지침,선행연구과,733,2021-07-30,809,2022-11-14,
예규,무기체계 연구개발 표준협약서,방위사업정책과,740,2021-08-27,756,2021-11-23,
예규,현존전력 성능 극대화 사업 업무지침,방위사업정책과,744,2021-11-02,804,2022-09-29,
예규,미래도전국방기술 연구개발 업무처리지침,미래도전기술사업팀,765,2022-02-28,,,
예규,군용총포·도검·화약류 안전관리 지원사업 운영규정,방산정책과,783,2022-03-22,,,
예규,방위산업기술 보호법에 따른 과태료의 가중처분에 관한 세부 지침,기술보호과,785,2022-05-10,,,
예규,전력화장비 후속지원 사업 업무지침,방위사업정책과,787,2022-06-03,,,
,,,,,,,
고시,"국방과학기술료 산정, 징수방법 및 징수절차 등에 관한 고시",기술정책과,2006-13,2006-05-04,2022-9,2021-04-30,
고시,군용항공기 표준감항인증 기준에 관한 고시,인증기획과,2009-05,2009-09-23,2021-01,2021-04-29,
고시,절충교역 획득자산의 기술료 및 대부료 징수요율에 관한 고시,절충교역과,2012-04,2012-03-07,2021-11,2016-01-25,
고시,국가를 당사자로 하는 계약에 관한 법률 시행령 제39조 제1항 단서의 규정에 의한 정보처리장치의 지정에 관한 고시,조달기획과,2009-02,2009-03-27,2022-08,2019-09-18,
고시,군용총포·도검·화약류 운반에 관한 고시,방산일자리과,2016-04,2016-10-14,2022-06,2019-10-10,
고시,방위산업기술 지정 고시,기술심사과,2016-05,2016-12-14,2020-01,2020-01-03,
고시,DQ마크 인증제도 운영에 관한 고시,국제협력총괄담당관,2012-01,2012-01-02,2022-04,2020-02-18,
고시,군용항공기 감항인증 전문기관 지정,인증기획과,2017-05,2017-06-15,,,
