구분,사업명 또는 품목명,사업기간,획득방법,국외업체,경쟁여부,대상장비 현황,기본계약 입찰공고 시기,기본계약 체결 또는 예정,사업 추진단계,절충교역 추진단계 ,사업팀
감시전자,P-3C/CK Link-22/SATURN 체계개발,2025~2029,국내연구개발,L3Harris,비경쟁,"P-3C/CK(Link-22,SATURN 공지통신무전기,  체계통합)",2025-08,2025-12,체계개발기본계획 수립 중,검토중,연합전술데이터링크사업팀
감시전자,공지통신무전기(SATURN) 성능개량,2022~2028,국외구매,Collins Aerospace,비경쟁,"RC-800 대상전력(공지통신무전기, 체계통합)",2025-11,2025-12,협상,대상사업 통보 완료 (절충교역 협상),피아식별장비사업팀
감시전자,공지통신무전기(SATURN) 성능개량,2022~2028,국외구매,Leonardo,비경쟁,"AW-159 대상전력(공지통신무전기, 체계통합)",2025-11,2025-12,협상,대상사업 통보 완료 (절충교역 협상),피아식별장비사업팀
감시전자,공지통신무전기(SATURN) 성능개량,2022~2028,국외구매,Boeing,비경쟁,"F-15K 대상전력(공지통신무전기, 체계통합)",2025-11,2025-03,협상,대상사업 통보 완료 (절충교역 협상),피아식별장비사업팀
감시전자,공지통신무전기(SATURN) 성능개량,2022~2028,국외구매,Boeing,비경쟁,"E-737 대상전력(공지통신무전기, 체계통합)",2025-11,2025-06,사업통합 검토 중,검토중,피아식별장비사업팀
감시전자,공지통신무전기(SATURN) 성능개량,2022~2027,국외구매,Airbus,비경쟁,"KC-330 대상전력(공지통신무전기, 체계통합)",2025-11,2025-12,협상,대상사업 통보 완료 (절충교역 협상),피아식별장비사업팀
감시전자,항공통제기2차사업,2021~2031,국외구매,"Boeing, L3Harris, SAAB",경쟁,항공통제기,2025-11,2025-04,"협상, 구매 시험평가",대상사업 통보 완료 (절충교역 협상),전자전사업팀
감시전자,항공관제레이더(ASR)_육/해군 추가 소요,2023~2025,국외구매 (상업),한진정보통신(Leonardo),경쟁 유찰 후 수의계약 진행,"PSR 2D, ATCR33-S, RL-2000",2025-07,2025-06,제안서평가,대상사업 통보 완료 (제안요청서 발송),레이더사업팀
감시전자,이동형장거리레이더,2020~2029,국외구매 (상업),Leonardo,경쟁 유찰 후 수의계약 진행,이동형장거리레이더,2025-04,2025-12,"협상, 구매 시험평가",대상사업 통보 완료 (절충교역 협상),레이더사업팀
유도무기,패트리어트 성능개량2차,2022~2029,국외구매,미정,경쟁,PAC-3 발사대 성능개량,2025-02,2025-10,제안요청서 작성중,대상사업 통보 완료 (협상방안 검토중),다층방어유도무기사업팀
우주지휘통신,잠수함지휘통제체계 경미한 성능개량,2024~2027,국외구매 (상업),미)CEC,비경쟁,VLF송신체계,2025-02,2025-12,"협상, 구매 시험평가",대상사업 통보 완료 (절충교역 협상),해상공중지휘통제 체계사업팀
한국형 잠수함,장보고-III Batch-II 후속함(3번함) 건조 사업 (디젤발전기),2023~2031,국외구매,Rolls-Royce,비경쟁,디젤발전기,2025-12,2025-12,건조 중,대상사업 통보 예정 ('24년 11월),한국형잠수함개발사업팀
첨단기술,함탑재정찰용/서북도서용 무인항공기 사업,2023~2028,국내개발,오스트리아) Schiebel,비경쟁,"비행체, 지상통제장비",2025-08,2025-12,체계개발 중,대상사업 통보 완료 (절충교역 협상),드론사업팀
함정,군수지원함(AOE-II)2차,2024~2028,국내개발(함정) 국외구매(대상장비),미정,미정,"해상보급체계(FAS,RAS)",2024,2024~2025(초),입찰공고 중,대상사업 통보 예정,상륙함사업팀
함정,고속함(PKX-A) 성능개량,2024~2030,국내개발(함정) 국내구매(대상장비),독일) Rheinmetal,비경쟁,대유도탄기만체계 ((1)MASS (2)K-RBOC (3)DAGAIE 중 MASS로  결정될 경우에만 절충교역 대상에 해당),2025,2025-08,입찰공고 중,대상사업 통보 예정,무인수상함사업팀
함정,구축함(KDDX),2020~2036,기술협력생산,"대형발전기 엔진(GE Aviation, Rolls Royce)",경쟁,"대형발전기 엔진, 통합전력체계",2025-04,2023-03(가계약) 2024-12(본계약),상세설계 및 선도함 건조 준비중,대상사업 통보 완료 (절충교역 협상),한국형구축함사업팀
함정,구축함(KDDX),2020~2036,기술협력생산,"통합전력체계(DRS, GE Power Conversion)",경쟁,"대형발전기 엔진, 통합전력체계",2025-04,2023-03(가계약) 2024-12(본계약),상세설계 및 선도함 건조 준비중,대상사업 통보 완료 (절충교역 협상),한국형구축함사업팀
함정,울산급 Batch-IV(1~6번함) 건조,2024~2032,기술협력생산,Rolls-Royce,비경쟁,가스터빈,2024~2028 (예정),2024~2028(예정),함 건조계획 수립 중,검토중,호위함사업팀
항공,F-35A 성능개량,2022~2030,국외구매 (FMS),LM,비경쟁,F-35A,미정,2027(4분기),사업타당성조사 후속조치(사업계획 재검토),검토중,전투기사업팀
항공,F-15K 성능개량,2024~2034,국외구매,Boeing,비경쟁,F-15K,2024(1분기) (LOR 발송),'24년 4분기 (LOA 수락),협상 및 시험평가 진행 중,검토중,전투기사업팀
항공,공중급유기 2차,2025~2030,국외구매,미정,경쟁,미정,2025-01,2025-10,구매계획 작성 및 수립,검토중,공중기동기사업팀
항공,해상작전헬기-II,2025~2032,국외구매,미정,경쟁,미정,2025(2분기),2025(4분기),사업타당성조사 협의중,검토중,해상항공기사업팀
항공,표적식별장비-II,2025~2030,국외구매,미정,경쟁,"SNIPER(미 LM), LITENING(미 NG, 이스라엘 라파엘)",2025(1분기),2025(4분기),사업타당성조사 진행 중,검토중,국산항공기사업팀
헬기,AH-64E 성능개량,2024~2028,국외구매,Boeing,비경쟁,AH-64E,2025-07,2025-07,사업타당성 재검증,대상사업 통보 완료 (제안요청서 준비),공격헬기사업팀
헬기,UH/HH-60 성능개량,2024~2031,연구개발,미정,미정,UH/HH-60,2025-03,2025-07,입찰공고 / 계약,대상사업 통보 예정,한국형기동헬기사업팀
헬기,특수작전용대형기동헬기,2024~2033,국외구매 (상업),"Boeing,LM",경쟁,"CH-47F/ER, CH-53K",2025-02,2025-12,구매계획 수립 중,대상사업 통보 완료 (제안요청서 준비),특수헬기사업팀
헬기,의무후송전용헬기 2차,2025~2027,연구개발,Airbus Helicopter,비경쟁,KUH-1M,2025,2025-10,사업타당성 재검증,대상사업 통보예정,한국형기동헬기사업팀
헬기,지휘헬기-II,2025~2030,국외구매 (상업),"Airbus, Bell, Lenardo, LM",경쟁,"H225M, Bell525, AW101, S-92A+",2025-03,2025-12,구매계획 수립 중,대상사업 통보 완료 (제안요청서 준비),특수헬기사업팀
