입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
상륙기동헬기 조종시뮬레이터 선행연구,방위사업청(운영지원과),28000000.0,93.333,2016-02-11,재단법인 한국군사문제연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",28000000.0,93.333,상륙기동헬기 조종시뮬레이터 선행연구,중앙행정기관
특수작전용 유탄발사기사업 선행연구,방위사업청(운영지원과),71000000.0,95.826,2016-01-06,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",71000000.0,95.826,특수작전용 유탄발사기사업 선행연구,중앙행정기관
국방연구시설·장비 종합관리 방안 연구,방위사업청(운영지원과),70626600.0,87.0,2016-02-26,(재)한국산업개발연구원,백훈,,서울특별시 서초구 남부순환로319길 13(서초동),70626600.0,87.0,국방연구시설·장비 종합관리 방안 연구,중앙행정기관
국방우주력 발전을 위한 민·군 기술협력 방안 연구,방위사업청(운영지원과),51000000.0,85.0,2016-03-11,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",51000000.0,85.0,국방우주력 발전을 위한 민·군 기술협력 방안 연구,중앙행정기관
미래특임 및 항공 통합 특임여단 편성방안 연구용역,육군교육사령부,26780000.0,97.696,2016-02-05,(사)한국전략문제연구소,박정기,구종우,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)",26780000.0,97.696,미래특임 및 항공 통합 특임여단 편성방안 연구용역,군
특임여단 북괴군 핵 화생시설 점령/확보방안 연구용역,육군교육사령부,24550000.0,96.364,2016-02-05,(사)한국전략문제연구소,박정기,구종우,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)",24550000.0,96.364,특임여단 북괴군 핵 화생시설 점령/확보방안 연구용역,군
국방 전력발전체계에서의 전투실험체계 정립 연구용역,육군교육사령부,19200000.0,98.58,2016-02-05,서강대학교산학협력단,신관우,안구름,서울특별시 마포구 백범로35-0 (신수동),19200000.0,98.58,국방 전력발전체계에서의 전투실험체계 정립 연구용역,군
해안경계 임무전환 관련 안보상황 평가체계 연구,국방부(운영지원과),26000000.0,83.106,2016-03-10,(사)국방소프트웨어협회,황일선,,대전광역시 유성구 대덕대로512번길20-0 (도룡동) 대전정보문화산업진흥원 304호,26000000.0,83.106,해안경계 임무전환 관련 안보상황 평가체계 연구,중앙행정기관
민군 협력을 통한 상호가치 창출 활성화 방안 연구,국방부(운영지원과),38000000.0,90.67,2016-03-08,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",38000000.0,90.67,민군 협력을 통한 상호가치 창출 활성화 방안 연구,중앙행정기관
정신전력 측정도구 및 지표 개발 연구,국방부(운영지원과),,,,,,,,,,정신전력 측정도구 및 지표 개발 연구,중앙행정기관
수도권 동원예비군 수송방법 개선방안 연구,국방부(운영지원과),38000000.0,95.0,2016-01-22,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",38000000.0,95.0,수도권 동원예비군 수송방법 개선방안 연구,중앙행정기관
전력발휘 보장을 위한 예비군훈련체계 연구,국방부(운영지원과),30000000.0,92.965,2016-01-26,상명대학교산학협력단,유훈,,"서울특별시 종로구 홍지문2길20-0 (홍지동, 상명대학교)",30000000.0,92.965,전력발휘 보장을 위한 예비군훈련체계 연구,중앙행정기관
조종사 보호의세트-Ⅱ사업 선행연구,방위사업청(운영지원과),61789317.0,92.773,2016-02-19,육군사관학교 산학협력단,김주희,,서울특별시 노원구 화랑로574-0 (공릉동),61789317.0,92.773,조종사 보호의세트-Ⅱ사업 선행연구,중앙행정기관
상륙공격헬기 체계운용요구 및 PBL 적용방안 연구용역,제9691부대,34000000.0,87.441,2016-02-04,주식회사 한국사업관리연구원,황순용,황순용,"인천광역시 서구 로봇랜드로155-11 (청라동), 5층 504호",34000000.0,87.441,상륙공격헬기 체계운용요구 및 PBL 적용방안 연구용역,제9691부대
소형전술차량 시설사업 선행연구,방위사업청(운영지원과),61600000.0,91.94,2016-02-24,(주)에프오알엠도시건축공간연구소,권시형,,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)",61600000.0,91.94,소형전술차량 시설사업 선행연구,중앙행정기관
군사시설 건축공법(경량화) 개선 연구,국군재정관리단,68370000.0,91.012,2016-02-25,(주)디앤오종합건축사사무소,정봉원,정봉원,"서울특별시 송파구 법원로9길26, D동 1104호(문정동, H-비즈니스파크)",68370000.0,91.012,군사시설 건축공법(경량화) 개선 연구,국군재정관리단
선체고정음탐기 선행연구 용역,방위사업청(운영지원과),47000000.0,94.0,2016-01-19,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",47000000.0,94.0,선체고정음탐기 선행연구 용역,중앙행정기관
230mm급 무유도탄사업 선행연구,방위사업청(운영지원과),56000000.0,84.959,2016-02-11,사단법인 한국방위사업연구원,장복철,,서울특별시 용산구 새창로128-1 (용문동) 2층,56000000.0,84.959,230mm급 무유도탄사업 선행연구,중앙행정기관
잠수함용 부유식기만기 경미한 성능개량 선행연구,방위사업청(운영지원과),36000000.0,90.0,2016-02-17,사단법인 한국방위사업연구원,장복철,,서울특별시 용산구 새창로128-1 (용문동) 2층,36000000.0,90.0,잠수함용 부유식기만기 경미한 성능개량 선행연구,중앙행정기관
근무주정 내항성 향상 함형 개발 연구,해군본부,,,,,,,,,,근무주정 내항성 향상 함형 개발 연구,군
근무주정 내항성 향상 함형 개발 연구,해군본부,,,,,,,,,,근무주정 내항성 향상 함형 개발 연구,군
다도해함 개조 설계 방안 연구,해군본부,,,,,,,,,,다도해함 개조 설계 방안 연구,군
다목적 항무지원정 함형 발전 연구,해군본부,26000000.0,93.896,2016-03-10,에스앤에스이앤지 주식회사,박종선,전재신,"인천광역시 중구 인중로 178, 제이엘타워 1001호(사동)",26000000.0,93.896,다목적 항무지원정 함형 발전 연구,군
지상군 전략 및 작전수행개념 연구,육군교육사령부,17490000.0,91.533,2016-03-21,사단법인 한국국방발전연구원,김효근,이경생,서울특별시 강동구 양재대로1377 (성내동 삼원빌딩 408호),17490000.0,91.533,지상군 전략 및 작전수행개념 연구,군
무인비행체계의 공격 방어체계 정립 연구용역,육군교육사령부,17600000.0,91.23,2016-03-28,사단법인 한국국방발전연구원,김효근,이경생,서울특별시 강동구 양재대로1377 (성내동 삼원빌딩 408호),17600000.0,91.23,무인비행체계의 공격 방어체계 정립 연구용역,군
동서지형의 차이를 고려한 부대 및 전력구조 연구용역,육군교육사령부,15930000.0,81.609,2016-03-21,사단법인 한국국가전략연구원,한민구,이상규,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)",15930000.0,81.609,동서지형의 차이를 고려한 부대 및 전력구조 연구용역,군
주변국 지상군에 대한 부대 및 전력구조 연구,육군교육사령부,18915000.0,98.129,2016-03-21,(사)21세기군사연구소,김진욱,박계향,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)",18915000.0,98.129,주변국 지상군에 대한 부대 및 전력구조 연구,군
도약적 우위능력을 위한 미래 전력 창출 방향 연구,육군교육사령부,15930000.0,81.738,2016-03-21,사단법인 한국국가전략연구원,한민구,이상규,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)",15930000.0,81.738,도약적 우위능력을 위한 미래 전력 창출 방향 연구,군
전차와 육군헬기의 혁신적인 운용개념 발전 연구,육군교육사령부,,,,,,,,,,전차와 육군헬기의 혁신적인 운용개념 발전 연구,군
전차와 육군헬기의 혁신적인 운용개념 발전 연구,육군교육사령부,,,,,,,,,,전차와 육군헬기의 혁신적인 운용개념 발전 연구,군
무인기술을 적용한 현용전력 극대화 방안 연구,육군교육사령부,,,,,,,,,,무인기술을 적용한 현용전력 극대화 방안 연구,군
무인기술을 적용한 현용전력 극대화 방안 연구,육군교육사령부,18300000.0,94.863,2016-03-31,사단법인 한국국가전략연구원,한민구,이상규,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)",18300000.0,94.863,무인기술을 적용한 현용전력 극대화 방안 연구,군
한국 육군 교육훈련관리의 개선방안 연구,육군교육사령부,,,,,,,,,,한국 육군 교육훈련관리의 개선방안 연구,군
한국 육군 교육훈련관리의 개선방안 연구,육군교육사령부,17900000.0,92.574,2016-03-22,사단법인 대한민국 육군발전협회,권오성,이윤정,"서울특별시 용산구 이태원로 29, 전쟁기념관 4층(용산동1가)",17900000.0,92.574,한국 육군 교육훈련관리의 개선방안 연구,군
전장리더십 역량의 평시 개발 연구,육군교육사령부,16700000.0,84.795,2016-03-21,재단법인 한국군사문제연구원,김형철,이수행,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",16700000.0,84.795,전장리더십 역량의 평시 개발 연구,군
보코더 특성분석 플랫폼 개발 연구용역,국군재정관리단,98000000.0,98.495,2016-03-11,한양대학교 산학협력단,변중무,이나라,"서울특별시 성동구 왕십리로 222, 한양대학교 내 한양종합기술연구원 110호(행당동)",98000000.0,98.495,보코더 특성분석 플랫폼 개발 연구용역,국군재정관리단
전투실험 연구용역,육군정보통신학교,26219000.0,84.316,2016-03-14,(사)21세기군사연구소,김진욱,박계향,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)",26219000.0,84.316,전투실험 연구용역,군
부품국산화율 산정방식 등  제도 개선방안 연구,방위사업청(운영지원과),44900000.0,100.0,2016-03-16,산업연구원,주현,,세종특별자치시  시청대로370-0,44900000.0,100.0,부품국산화율 산정방식 등  제도 개선방안 연구,중앙행정기관
저 전송률 보코더 개발 연구용역,국군재정관리단,98000000.0,99.519,2016-03-08,한양대학교 에리카산학협력단,박태준,정수민,"경기도 안산시 상록구 한양대학로55-0 (사동, 한양대학교 안산캠퍼스)",98000000.0,99.519,저 전송률 보코더 개발 연구용역,국군재정관리단
공병분야 M&S 연구용역,육군공병학교,,,,,,,,,,공병분야 M&S 연구용역,군
공병분야 M&S 연구용역,육군공병학교,,,,,,,,,,공병분야 M&S 연구용역,군
국방상호운용성 마스터플랜 연구,국방부(운영지원과),62000000.0,87.834,2016-04-12,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",62000000.0,87.834,국방상호운용성 마스터플랜 연구,중앙행정기관
연구소 회의실 AV시스템 제조설치 납품,국군화생방방호사령부,42090000.0,88.004,2016-04-06,주식회사 세명에스엠지,장병철,이한솔,서울특별시 금천구 가산디지털1로171-0 (가산동) 가산SK V1 센터 1505호,42090000.0,88.004,연구소 회의실 AV시스템 제조설치 납품,기관
해병대9여단 임무.역할 확대 및 발전방향 연구용역,제9691부대,13900000.0,71.265,2016-04-28,(재)한국해양전략연구소,정의승,김미희,서울특별시 마포구 월드컵북로5길59 (서교동),13900000.0,71.265,해병대9여단 임무.역할 확대 및 발전방향 연구용역,제9691부대
전투발전세미나 수행 연구용역,육군교육사령부,31022000.0,94.339,2016-04-25,(사)한국전략문제연구소,박정기,구종우,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)",31022000.0,94.339,전투발전세미나 수행 연구용역,군
화생방 연구활동 재료 시약 구매,국군화생방방호사령부,54412430.0,89.256,2016-03-31,일송 유에프티,이덕호,이덕호,"서울특별시 강남구 테헤란로64길13, 504호 (대치동, 선릉역 풍림아이원레몬)",54412430.0,89.256,화생방 연구활동 재료 시약 구매,기관
