입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
18년 작전지속지원분석모델 유지보수 용역,국군재정관리단,,81.1951,2021-08-20,제이컴,김태훈,이희국,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)",176566473.0,81.1977,의무장비(생화학자동분석기 등 2종) 구매(17-207),국군재정관리단
효율적인 탄약 전력화 방안 연구,공군본부,,,2020-06-14,주식회사도시경영연구원,김규원,노민택,"서울특별시 구로구 디지털로33길55, 1009호 (구로동, 이앤씨벤처드림타워2차)",259593042.0,87.0917,22-15차 연구장비 구매 계약 - 진탕욕조,군
유도무기 적정 수리부속 보유량 산출 연구 용역,합동참모본부,127321772.0,87.0318,2019-04-12,,,,,127277389.0,87.0357,국방표준화 개발을 위한 협력기관 지정 활용방안 연구,기관
전파영향평가 방법 비교분석 및 실증 연구,제7821부대,7386185.0,83.4614,,(주)휴먼이퀘이션,반상우,이슬,"서울특별시 구로구 디지털로33길55, 1009호 (구로동, 이앤씨벤처드림타워2차)",,83.4627,민군복합타운 조성을 위한 제도적 방안 연구,합동참모본부
19년 작전계획분석모델 장비교체사업(20198065-E),합동참모본부,,96.2968,,,권시형,민성현,서울특별시 관악구 관악로1 (신림동),,96.2941,항-19-088 자동면역분석기 시약 등 117종,군
스펙트럼용 분석기 구매,해군본부,119877900.0,,,세종대학교산학협력단,김성룡,김유미,"서울특별시 마포구 월드컵북로501-0 (상암동, 상암월드컵파크9단지)904동1005호",119763983.0,86.0167,항공기 운영이력 빅데이터 수집 및 분석기법 연구,국군재정관리단
(20F169-A)지형분석장비 교체사업 등 17건 금융리스,국군재정관리단,73097359.0,,2019-01-19,사단법인한국강구조학회,송귀섭,오중택,"서울특별시 강남구 테헤란로69길5(삼성동,DT센터)",73065986.0,,21년 공군 자동면역분석기 시약 등 163종 구매,중앙행정기관
강릉병원 기능조정 연구용역,국군제1068부대,,,,,,박계향,,52998741.0,89.4567,고속전투정 기지건설 방안 연구 용역,합동참모본부
사이버위협 분석체계 개선사업,제9691부대,181605451.0,81.0992,2017-02-02,,,전희수,,181652629.0,81.0957,생성형 AI 서비스 구축 방안 정책연구용역,기관
한국형 임무형 지휘와 리더십 관계 정립 연구용역,국군재정관리단,160827945.0,,,,전건욱,,대전광역시 유성구 대덕대로512번길20-0 (도룡동) 대전정보문화산업진흥원 304호,160757720.0,67.1198,미래 무기체계 소요 연구용역,군
