입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
지형분석도 제작 재료 구매,공군본부,,80.408,2022-12-18,주식회사 케이원,김종규,조윤교,"경기도 성남시 중원구 사기막골로159-0 (상대원동, 금강하이테크2 아파트형공장) 711호"
인공지능 전차 비사격 훈련시스템 개발 연구용역,방위사업청(운영지원과),,,2022-10-21,,,김소미,
군용차량 운행 안전성 및 안전관리 개선방안 연구,공군교육사령부,6232812.0,99.114,2020-03-16,휴뷰티,이민용,,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
활주로 피해복구용 골재 품질기준 및 관리방안 연구,육군본부,165663647.0,83.569,,,권시형,,
한국형 국방 우주력 발전 전략 연구,해군본부,,77.417,,,,한경희,
조종사 피로도와 안전비행의 역학관계 분석 연구용역,국군재정관리단,76836661.0,,,주식회사 루키스,김대웅,이동희,"경기도 고양시 덕양구 항공대학로76-0 (화전동, 한국항공대학교내)"
사회공학기법과 사이버 작전과의 연계성 연구,공군본부,26294879.0,,2022-06-14,,박정기,,
23-D-라만분광분석기 구매,국군의무사령부,,,,(주)아인스에스엔씨,임채익,진주,"경상남도 창원시 마산합포구 해안대로91, 상가 205호(해운동, 경민시티빌)"
군사과학기술대학원(가칭) 신설방안 연구,방위사업청(운영지원과),58983601.0,86.3,2022-02-20,사단법인 안보경영연구원,전건욱,,
2017 PACC & PAMS 연구용역,공군본부,104006292.0,,,사단법인 한국국가전략연구원,민광기,,충청남도 논산시 양촌면 황산벌로1040
대형수송함-ll(LPX-ll) 개념설계 기술지원 연구 용역,제9691부대,,,2023-11-14,(주)에프오알엠도시건축공간연구소,권시형,,
상륙공격헬기의 효과적인 시설사업 추진방안 연구,해군본부,712350343.0,105.316,2021-04-17,,유훈,박계향,
21-04-142 신호분석기 등 3 품목,방위사업청(운영지원과),451837834.0,111.267,2023-09-08,사)국방정보통신협회,김진욱,명승배,"서울특별시 용산구 이태원로 29, 전쟁기념관 4층(용산동1가)"
무기체계 RAM 시험평가의 효율적 수행방안 연구,공군본부,,,,(재)한국산업개발연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)"
동원전력 내실화 방안 연구용역,국군재정관리단,629012935.0,88.495,2016-09-17,케이투웹테크(주),김태일,정주교,경기도 화성시 10용사로456-0 (반송동)
0000 00 체계 분석 자재 구매,제9691부대,21846514.0,93.437,2020-06-18,사단법인 안보경영연구원,전건욱,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
안보학술연구용역(4.한국의군사전략),국군수도병원,257422262.0,76.225,2017-12-05,한남대학교 산학협력단,김윤혁,,"경상남도 창원시 성산구 완암로50-0 (성산동, SK테크노파크) 넥스동 1103호"
국방과학기술기본법 제정을 통한 국방연구개발 혁신,국방부(운영지원과),,98.53,2022-11-12,사단법인 안보경영연구원,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
교육연구자료 원문 DB 구축 용역,국군재정관리단,352834228.0,82.038,,,,,
(20F066-A)소음영향도작성을위한 소음측정및분석용역,국군재정관리단,,92.635,,(주)비아이엔씨,조성희,김석용,경상북도 문경시 문경읍 주흘1길20-0
