입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
미래 예비군 제도를 대비한 예비군 개념 정립 연구,해군본부,,87.9247,2023-02-14,천두기업,전건욱,장철호,서울특별시 영등포구 경인로763-0 (문래동3가) 제9호,91951773.0,87.4546,4차 산업혁명과 항공우주력 발전 패러다임 변화 연구,군
[24-육-84] 탄약부대 경계병력 민간전환 선결 연구,공군작사근무지원단,,,2021-09-08,주식회사 유니텍,김동국,이여정,서울특별시 동작구 여의대방로36길92(대방동),66175292.0,89.0093,항공용금속재료 가공방법별 기계적물성치측정방안연구,제2879부대
중금속 가열분석기 1항목 구매(물품),해군본부,45526156.0,61.1646,2023-02-26,제이에스전자,신인균,정기쁨,,99011823.0,92.8691,안보학술연구용역(2. 국제안보환경과),중앙행정기관
군 어린이집 운영 발전방안 연구,국군재정관리단,96297846.0,87.6757,,세종대학교산학협력단,전건욱,,,,83.7426,중합염기서열분석기 구매,중앙행정기관
분석기(비행조종계통 점검용)외1종 구매(16-38),해군군수사령부,,94.9854,,(사)21세기군사연구소,한영석,김영원,"경기도 용인시 처인구 모현읍 외대로25번길12-26 (라인빌리지), 201동 302호",,87.3993,2017 서울안보대화 프로그램 기획 및 발전방안 연구,국군재정관리단
(247158-F) 스펙트럼 분석기 등 3종 구매,제3170부대,117674975.0,,,법무법인 집현전,유흥배,최명식,"서울특별시 성동구 왕십리로 222, 한양대학교 내 한양종합기술연구원 110호(행당동)",185359277.0,87.4567,무전기 전면판 회로카드 시험장비 개발 연구용역,군
국내개발 항공기 성능개량 및 관리방안 연구용역,합동상호운용성기술센터,71243960.0,,2019-03-22,오릭스캐피탈코리아(주),이관섭,조동원,서울특별시 노원구 화랑로574-0 (공릉동),162365261.0,,디지털 혁신시대 SW개발역량 강화방안 연구용역,중앙행정기관
방위사업 국제공동연구개발 가이드라인 연구,공군군수사령부,,,,(주)에프오알엠도시건축공간연구소,김종하,송하봉,서울특별시 서초구 서운로1길34-0 (서초동),41004663.0,53.0837,2018년 항공관제 분석체계 유지보수 용역,국군재정관리단
해병대 산소분석기 4개 구매,국군대전병원,290990776.0,47.3553,2018-06-10,사단법인군사정보발전연구소,이정웅,김정자,경기도 고양시 덕양구 권율대로656-0 (원흥동) 17층 1739호,155572226.0,94.5534,헬기 연료노즐 야전 정비장비 개발 연구용역,제20전투비행단
(21F166-I)「스마트 물류」정책연구 용역,제9691부대,128741484.0,,,사단법인 안보경영연구원,김진욱,이다인,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)",64703270.0,92.4284,재투자 의무장비 구매(1차) - 요분석기,중앙행정기관
22-작전지휘시설 신축 분석평가 및 선행연구 용역,공군본부,,,2020-10-17,한국항공대학교 산학협력단,전건욱,,"서울특별시 강남구 강남대로62길24-0 (역삼동,해송빌딩)3층",,87.7275,운용함정 손상대응 훈련 시나리오 연구 용역,제2879부대
상층대기분석장비 유지보수,국군수도병원,33769078.0,63.2753,2020-06-27,(주)씨엠코리아,김영국,우지민,대전광역시 유성구 테크노2로66-6 (관평동),66953532.0,93.2591,연구개발 부품[캐피시터등50종1655점 구매],군
기술연구 환경구축 사업 리스,해군본부,16705847.0,88.5466,2020-05-27,,,,,,85.5877,(207146-F)디지털포렌식 분석장비 도입,국군재정관리단
군 의사결정 지원을 위한 빅데이터 활용방안 연구용역,국군의무사령부,,,,매쉬미디어(주),최창식,김지영,서울특별시 영등포구 여의대방로43나길20-0 (신길동),118423314.0,87.3955,함정 총수명주기 고려 탑재장비 획득방안 연구 용역,중앙행정기관
21 분석기 주파수편이용 1종 구매,국방부(운영지원과),38450034.0,88.0772,2021-08-20,씨엠티정보통신(주),민정식,신명화,서울특별시 서초구 서초동1432-13 202,686193810.0,93.1548,19-12차(3) 의무장비 혈액가스분석기 소형 구매,중앙행정기관
국방 비밀관리시스템 연동표준 개념연구,공군본부,147123318.0,79.7239,2023-05-01,,조민구,이도제,충청남도 천안시 동남구 풍세로303-0,,87.4182,전투실험 중장기 종합발전계획 연구용역,기관
전인교육 설문지 개발 및 활용성 증대 방안 연구,해군본부,23212733.0,79.5294,2018-07-21,디와이아이앤씨주식회사,권선애,박은정,"서울특별시 금천구 가산디지털1로5, 대륭테크노타운 20차 1934호",,87.976,공군 리더십 교육프로그램 개발 연구용역,국군재정관리단
군용비행장 소음측정 및 분석용역(해),국방부(운영지원과),,87.8629,2017-10-24,,김지찬,황순용,,,87.5346,인공지능을 활용한 사이버위협 탐지기술 연구용역,국군재정관리단
화학위험물질 및 방사선 탐지  분석용 드론제조,육군본부,101405225.0,87.7326,,주식회사 메디시온,최인숙,조영진,"대전광역시 유성구 죽동로297번길68 (죽동) CNU프라자  701,702호",,,소규모 정보체계 개발방법론 연구,중앙행정기관
통섭형 인재 육성을 위한 직무순환 방안 연구 용역,육군교육사령부,,88.0844,,엠에스동민특수가스(주),서용석,이진선,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)",,88.1279,육군내 기술연구소 신설방안 연구 용역,기관
미래 육군의 우주분야 활용방안 연구 용역,육군본부,,88.5853,2019-02-01,(재)한국해양전략연구소,최동양,박병희,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)",87150433.0,87.5216,연구장비확보(냉방장치),국군제1068부대
승선근무예비역의 병역제도 발전 방안 연구 용역,공군본부,37029178.0,,2018-05-05,재단법인 한국기계전기전자시험연구원,이명식,,"인천광역시 남동구 인주대로591번길64, 410호(구월동, 타원벨라움)",43237150.0,87.3678,정보통신부대의 조직발전방향 연구,기관
시험평가 인프라 구축 확대 및 종합 관리 방안 연구,국방부(운영지원과),38170478.0,,2020-04-21,서울과학기술대학교 산학협력단,홍영기,박은숙,,,87.4975,24년 군 주거시설 개선사업 선행연구(24-GD-51),중앙행정기관
(216323-C) 네트워크 위협 분석체계 구축사업,제9965부대,32445524.0,95.6379,2020-08-19,청주대학교산학협력단,오정환,이민혜,전라북도 전주시 완산구 장승배기로263 (평화동1가),,85.802,21-해군 재료분석기 구매,중앙행정기관
국방개혁과 연계한 예비군법 발전방안 연구,공군사관학교,44555616.0,79.8541,2023-02-07,주식회사 엘티에스,민광기,,"경기도 광명시 사성로103번길14 (철산동, 광복현대아파트)106-508",76672663.0,,침낭 품질개선 선행연구 용역,국군재정관리단
항공작전기지 계류공간의 효육적 활용방안 표본연구,합동상호운용성기술센터,116509092.0,93.8363,2020-05-31,중앙대학교 산학협력단,이우희,전세희,"서울특별시 은평구 진흥로 225,(불광동)",68497505.0,79.5636,화생방 방호물자 적정방호 수준 연구,제2879부대
