입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
19년 지형분석장비 교체(리스물건)(20196289-G),합동참모본부,,86.225,2021-12-19,한성대학교 산학협력단,박영욱,이영주,"경기도 용인시 수지구 죽전로 152, 단국대학교내(죽전동)",210914385.0,86.235,의무장비(자동분석기 생화학용중형) 구매(20197014-D),합동참모본부
해병대 고유 무기체계별 맞춤식 정비개념 연구,육군본부,,,2022-12-28,,정봉원,,"서울특별시 강남구 논현로28길54-0 4층 (도곡동, 덕원빌딩)",135645779.0,92.277,사례분석을 통한 對아세안 국방협력 발전방안 연구,군
4차 산업혁명  군 적용을 위한 R&D 발전방안 연구,국방부(운영지원과),154279763.0,84.275,2022-04-13,(사)한국전략문제연구소,전건욱,,,154207632.0,84.271,(21G087-I)범국민 안보의식조사 연구 용역,중앙행정기관
(22G088-A) VR 지뢰훈련시뮬레이터 선행연구용역,국방부(운영지원과),197895341.0,69.863,,한성대학교 산학협력단,김화영,김영진,"경기도 성남시 수정구 복정로84번길 22-15,(B-001호) (복정동)",,69.862,’22년 미래혁신연구센터 부대소개영상 제작용역,군
주요 비행피복류 맞음성 개선 및 표준화 연구,국방부(운영지원과),,97.314,,(주) 웃샘,박종영,구종우,부산광역시 부산진구 동성로20 (전포동),,97.305,2017년 제3회 국방 분석평가관계관 워크숍 위탁운영,중앙행정기관
[24-육-91] 무건리 훈련장 갈등 비용분석 연구,국군재정관리단,187564034.0,,,충남대학교 산학협력단,성현모,김수권,대전광역시 유성구 온천로59-0 (봉명동) 905호,187540609.0,86.426,국가전략기동군 해병대 발전방안 연구 사업,기관
전자파 분석장치 등 2종 구매,제2군단,220831603.0,,2018-02-28,한성대학교 산학협력단,이인형,,경상남도 진주시 동진로420 (충무공동),220865407.0,,한국적 지뢰대응활동표준 작성에 대한 연구,제2879부대
미래환경 변화에 적합한 인력획득 홍보 발전방안 연구,방위사업청(운영지원과),,,,,,,,119217495.0,77.844,CSP 획득개선 및 무기체계 가동률 향상방안 연구,중앙행정기관
복합신호분석기 구매(20198178-F),국군재정관리단,211783145.0,87.672,2017-04-13,,,,,211848131.0,87.676,(20F067-I)소음영향도작성을위한소음측정및분석용역,제6619부대
군용항공기를 활용한 공중발사체 운영방안 연구,해군군수사령부,210640168.0,,,재단법인 한국군사문제연구원,전건욱,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",210906502.0,79.807,포항지역 항공기 소음감소 대응방안 연구 용역,기관
(20F060-I)소음영향도작성을위한소음측정및분석용역,방위사업청(운영지원과),,,2020-01-06,윤서상사,허성일,박재성,"서울특별시 금천구 가산디지털1로19, 406호, 407호, 408호, 409호(가산동,대륭테크노타운18차)",,102.82,상층대기분석장비 유지보수,군
공군 전장망 소스코드 취약점분석체계 교체사업,제9691부대,66039553.0,86.749,2024-05-06,한성대학교 산학협력단,김재영,홍광표,충청남도 논산시 양촌면 황산벌로1040,66081417.0,86.755,(22F067-G) 심리뇌파분석시스템 유지보수사업,중앙행정기관
공군 품목관리관 자격인증제도 도입방안 연구용역,합동참모본부,10663561.0,117.948,2017-11-01,,,,"서울특별시 송파구 법원로9길26, D동 1104호(문정동, H-비즈니스파크)",,117.956,포별분배기 회로카드(6종) 시험장비개발 연구용역,중앙행정기관
부대개편이전사업 선행연구(00부대 등 4개 부대),국방부(운영지원과),,,,,,박계향,,106340523.0,70.327,17-추수평가 개선 및 환류방안 연구,합동참모본부
입체영상 처리 및 분석장비 구매,공군본부,133149225.0,97.695,2023-11-22,주식회사코드원,강길영,이정희,"서울특별시 서초구 신반포로303, 101호 (잠원동, 에스엘빌딩)",133180968.0,97.691,20-161 218 동물용 자동분석기 등 3품목,제9691부대
탄약안전관리사 및 항공소방구조사 자격신설 연구,제3697부대,256299605.0,79.879,2017-06-19,만능유한회사,권수민,,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호",,79.877,공중 무인무기체계 표준화 방안 연구,군
군 간부 획득환경 변화에 대비한 선발제도 방안 연구,방위사업청(운영지원과),31830895.0,102.48,2018-08-30,상명대학교산학협력단,,,"서울특별시 송파구 법원로9길26, D동 1104호(문정동, H-비즈니스파크)",,102.476,2019년 범국민 안보의식조사 연구 용역,중앙행정기관
함정 개조·개장 사업의 관급보험 도입방안 연구,방위사업청(운영지원과),,88.052,2022-07-03,대지이앤씨산업 주식회사,민명복,박소영,서울특별시 강남구 논현로189길6 (압구정동),,88.049,물류원가 데이터 수집 및 산정/관리 방안 연구,국군재정관리단
16-00원 종합발전 비전 연구용역,국방부(운영지원과),786884.0,77.937,,(주)디앤오종합건축사사무소,고중혁,,"서울특별시 종로구 홍지문2길20-0 (홍지동, 상명대학교)",,,CSRP 화생방 연구 재료 초자 구매,중앙행정기관
23-D-기체질량분석기 구매,육군본부,,111.744,,지그인더스트리,김정한,조민구,"경기도 고양시 일산서구 대산로213-0  302호 (대화동,중앙프라자)",,111.742,화생방위험예측분석체계 체계개발,중앙행정기관
디지털 혁신시대 SW개발역량 강화방안 연구용역,국방대학교,,88.816,2020-04-22,한국환경설계(주),조완제,박지훈,부산광역시 동구 중앙대로286번길9-0 (초량동) 306호,15817862.0,88.808,감염 및 외상분야 군의료 특성화 연구용역,기관
군 자동소음측정망 설치기준 및 운영방안 연구,국방부(운영지원과),8050189.0,,2020-11-12,한양무선통신,최명진,심지민,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)",8046452.0,91.352,실감형 디지털 정신전력교육 실태 및 개선방안 연구,군
연구소 화생방연구활동 재료비 초자 구매,합동참모본부,12190385.0,,2019-03-24,,,금재호,,,80.115,민간인 지뢰제거 방안 연구,국군재정관리단
마린온기체 수명관리 및 창정비소요비용 타당성 연구,해군군수사령부,55621796.0,84.94,2016-10-30,주식회사 보람정보통신,오상석,박영욱,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호",,84.939,함정추진축계이상소음발생위치추정및원인분석기법연구,국군재정관리단
16-'17년 대잠작전효과분석모델 성능개선 용역,공군본부,28479974.0,81.543,2019-07-25,,김진욱,,,28523348.0,,화산 특수작전종합훈련장 선행연구용역(특-24-용-24),중앙행정기관
차세대 비행시뮬레이터 개발을 위한 기술연구용역,국군재정관리단,20463804.0,83.218,2017-08-10,주식회사 세랜텍,최준호,전수현,강원특별자치도 철원군 동송읍 금학로31-98,20481482.0,83.224,야전운용시험 성과분석 및 발전방안 연구,군
상층대기분석장비 유지보수,국군재정관리단,,,2021-04-12,(사)21세기군사연구소,,박문희,,198995722.0,,부품정비대대 - 분석기  스펙트럼용 구매,국군재정관리단
지능형 악성코드 수집분석체계 라이선스 구매,국방부(운영지원과),,93.956,2024-04-10,주식회사 셀젠텍,홍광표,심동석,전라북도 정읍시 북면공단2길87(북면),377040605.0,93.949,[24-육-173] 영상분석 SW 라이선스 구매(리스물건),합동상호운용성기술센터
방산 부품산업 발전을 위한 지원체계 구축방안 연구,국군재정관리단,43638707.0,83.771,2021-08-17,(주)성광메디피아,최규식,함혜련,충청북도 괴산군 문무로85-0 중원대학교내 (괴산읍),,83.771,22-작전지휘시설 신축 분석평가 및 선행연구 용역,군
20년 전파환경 측정/분석장비 유지보수 용역,국방부조사본부,126985402.0,80.713,2022-03-03,주식회사 원스타,조동원,최영걸,경상남도 김해시 수가로242-9(응달동),,80.71,전원품질 분석기 구매,4284부대
전파영향평가 방법 비교분석 및 실증 연구,공군본부,97690683.0,85.343,2024-04-27,,,,,97676519.0,85.359,23-고출력에너지 무장 함정탑재 요구조건 연구,중앙행정기관
TAS-815K 레이저거리측정기 시험장비 개발 연구용역,국방부(운영지원과),13959937.0,,,,,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)",,93.342,23년 국방정책토론회 학술연구용역,중앙행정기관
디지털 증거분석 수사체계 교체사업(20198118-E),국군재정관리단,,,2021-11-10,,,,,15582758.0,,0000 수집/분석장비 구매,중앙행정기관
(246255-C) 외상처치 시뮬레이션 킷 등 5종 구매,육군군수사령부,280427751.0,,,주식회사투씨엘시스템,김한희,이숙,서울특별시 동대문구 고미술로100-0 (답십리동),280328946.0,80.69,항공화력유도 시뮬레이션 구축 구매/설치,군
