입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
국방 분야 초거대 AI 적용 방안 연구,방위사업청(운영지원과),0,2023-12-13,50200000,71.449,2024-01-02,고려대학교산학협력단,권정환,임동환,"서울특별시 성북구 안암로145 (안암동5가, 고려대학교)"
24년 국방연구개발사업의 성과조사 · 분석 연구 ,방위사업청(운영지원과),0,2023-12-19,79950000,99.937,2024-04-23,주식회사 공공정책성과평가연구원,김동준,노민택,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)"
2024~2025 국군수도병원 승강기 유지관리 용역,국군수도병원,93170000,2023-12-29,81990795,87.795,2024-01-02,성우승강기(주),김구현,장나영,"서울특별시 강남구 봉은사로451, 201호(삼성동, 성우빌딩)"
24-F-천궁  발칸 교육훈련장비 유지보수,국군재정관리단,77640000,2024-01-02,68156590,87.756,2024-01-02,경안이엔지(주),금동중,김은영,"서울특별시 광진구 아차산로78길110-0 (광장동, 리버힐오피스텔) 310"
(24-용역-01) 24년 오폐수처리장 관리용역,공군제19전투비행단,394719850,2024-01-03,351164910,88.102,2024-01-03,호암엔지니어링(주),윤기상,김지은,충청북도 충주시 금대2길49-4 2층 (칠금동)
24년 통합사이버교육시스템 유지보수 용역,국방대학교,23498372,2024-01-03,20624764,87.795,2024-01-03,주식회사 명품시스템,이명아,이성태,대전광역시 서구 계룡로408-0 (갈마동)
24-P-AV/방송 및 광다중화장비 외주정비 용역,제9227부대,117647058,2024-01-03,103158840,87.787,2024-01-03,진명전력 주식회사,배장수,김혜진,경상북도 문경시 산양면 산양공단1길19-90
24-Y-무인감시장비 유지보수용역,연평부대,220096445,2024-01-03,194724895,87.85,2024-01-03,주식회사 썬플라워즈,김종석,김종석,"인천광역시 서구 가석로30, 광양프런티어밸리 3차 301호 (가좌동)"
(23F266-I) '24년 전자유도카트 위탁관리 용역,국군재정관리단,81892284,2024-01-03,79200000,97.305,2024-01-03,주식회사 신한교역히타치골프카트한국총판,송덕순,성정미,대구광역시 수성구 국채보상로1087-1 (만촌동)
(23F262-I) 24년 오수처리시설 위탁관리 용역,국군재정관리단,192526098,2024-01-03,170680640,88.066,2024-01-03,청해ENV주식회사,이병관,임병무,"경기도 파주시 가나무로143, 3층 (금릉동, 파주메트로프라자1)"
